Region,County,State,party,vote.count
45001,Abbeville,South Carolina,Democrats,3741
45001,Abbeville,South Carolina,Others,271
45001,Abbeville,South Carolina,Republican,6763
22001,Acadia,Louisiana,Democrats,5638
22001,Acadia,Louisiana,Others,589
22001,Acadia,Louisiana,Republican,21162
51001,Accomack,Virginia,Democrats,6740
51001,Accomack,Virginia,Others,495
51001,Accomack,Virginia,Republican,8583
16001,Ada,Idaho,Democrats,75677
16001,Ada,Idaho,Others,26240
16001,Ada,Idaho,Republican,93752
19001,Adair,Iowa,Democrats,1133
19001,Adair,Iowa,Others,217
19001,Adair,Iowa,Republican,2461
21001,Adair,Kentucky,Democrats,1323
21001,Adair,Kentucky,Others,273
21001,Adair,Kentucky,Republican,6637
29001,Adair,Missouri,Democrats,3495
29001,Adair,Missouri,Others,696
29001,Adair,Missouri,Republican,6019
40001,Adair,Oklahoma,Democrats,1382
40001,Adair,Oklahoma,Others,344
40001,Adair,Oklahoma,Republican,4787
8001,Adams,Colorado,Democrats,96558
8001,Adams,Colorado,Others,17025
8001,Adams,Colorado,Republican,80082
16003,Adams,Idaho,Democrats,415
16003,Adams,Idaho,Others,212
16003,Adams,Idaho,Republican,1556
17001,Adams,Illinois,Democrats,7676
17001,Adams,Illinois,Others,1844
17001,Adams,Illinois,Republican,22790
18001,Adams,Indiana,Democrats,2805
18001,Adams,Indiana,Others,635
18001,Adams,Indiana,Republican,9648
19003,Adams,Iowa,Democrats,565
19003,Adams,Iowa,Others,146
19003,Adams,Iowa,Republican,1395
28001,Adams,Mississippi,Democrats,7757
28001,Adams,Mississippi,Others,205
28001,Adams,Mississippi,Republican,5874
31001,Adams,Nebraska,Democrats,3302
31001,Adams,Nebraska,Others,705
31001,Adams,Nebraska,Republican,9287
38001,Adams,North Dakota,Democrats,216
38001,Adams,North Dakota,Others,93
38001,Adams,North Dakota,Republican,909
39001,Adams,Ohio,Democrats,2326
39001,Adams,Ohio,Others,427
39001,Adams,Ohio,Republican,8659
42001,Adams,Pennsylvania,Democrats,14219
42001,Adams,Pennsylvania,Others,2337
