President,Date,Approve,Disapprove,Inauguration Date
Trump,2020-09-14,46,52,1/20/2017
Trump,2020-08-31,42,56,1/20/2017
Trump,2020-07-30,42,55,1/20/2017
Trump,2020-07-01,41,56,1/20/2017
Trump,2020-06-08,38,57,1/20/2017
Trump,2020-05-28,39,57,1/20/2017
Trump,2020-05-01,49,48,1/20/2017
Trump,2020-04-14,49,47,1/20/2017
Trump,2020-04-01,43,54,1/20/2017
Trump,2020-03-13,49,45,1/20/2017
Trump,2020-03-02,44,52,1/20/2017
Trump,2020-02-17,47,51,1/20/2017
Trump,2020-02-03,49,48,1/20/2017
Trump,2020-01-16,49,50,1/20/2017
Trump,2020-01-02,44,53,1/20/2017
Trump,2019-12-02,45,51,1/20/2017
Trump,2019-11-01,43,54,1/20/2017
Trump,2019-10-14,41,57,1/20/2017
Trump,2019-10-01,39,57,1/20/2017
Trump,2019-09-16,40,56,1/20/2017
Trump,2019-09-03,43,54,1/20/2017
Trump,2019-08-15,39,57,1/20/2017
Trump,2019-08-01,41,54,1/20/2017
Trump,2019-07-15,42,54,1/20/2017
Trump,2019-07-01,44,51,1/20/2017
Trump,2019-06-19,41,54,1/20/2017
Trump,2019-06-03,43,55,1/20/2017
Trump,2019-05-15,40,55,1/20/2017
Trump,2019-05-01,42,52,1/20/2017
Trump,2019-04-17,46,50,1/20/2017
Trump,2019-04-01,45,51,1/20/2017
Trump,2019-03-01,39,57,1/20/2017
Trump,2019-02-12,43,54,1/20/2017
Trump,2019-02-01,44,52,1/20/2017
Trump,2019-01-21,37,59,1/20/2017
Trump,2019-01-02,37,59,1/20/2017
Trump,2018-12-17,39,55,1/20/2017
Trump,2018-12-10,38,57,1/20/2017
Trump,2018-12-03,40,56,1/20/2017
Trump,2018-11-26,40,56,1/20/2017
Trump,2018-11-18,38,60,1/20/2017
Trump,2018-11-12,43,53,1/20/2017
Trump,2018-11-05,38,56,1/20/2017
Trump,2018-10-29,40,54,1/20/2017
Trump,2018-10-22,40,54,1/20/2017
Trump,2018-10-15,44,50,1/20/2017
Trump,2018-10-08,44,51,1/20/2017
Trump,2018-10-01,43,53,1/20/2017
Trump,2018-09-24,42,53,1/20/2017
Trump,2018-09-17,40,56,1/20/2017
Trump,2018-09-10,38,56,1/20/2017
Trump,2018-09-03,40,54,1/20/2017
Trump,2018-08-27,41,53,1/20/2017
Trump,2018-08-20,41,54,1/20/2017
Trump,2018-08-13,42,52,1/20/2017
Trump,2018-08-06,39,56,1/20/2017
Trump,2018-07-30,41,54,1/20/2017
Trump,2018-07-23,40,55,1/20/2017
Trump,2018-07-16,42,54,1/20/2017
Trump,2018-07-09,43,52,1/20/2017
Trump,2018-07-01,41,56,1/20/2017
Trump,2018-06-25,42,53,1/20/2017
Trump,2018-06-18,41,55,1/20/2017
Trump,2018-06-11,45,50,1/20/2017
Trump,2018-06-04,42,54,1/20/2017
Trump,2018-05-28,41,55,1/20/2017
Trump,2018-05-21,40,55,1/20/2017
Trump,2018-05-14,42,54,1/20/2017
Trump,2018-05-07,43,52,1/20/2017
Trump,2018-04-30,42,52,1/20/2017
Trump,2018-04-23,42,53,1/20/2017
Trump,2018-04-16,38,57,1/20/2017
Trump,2018-04-09,39,55,1/20/2017
Trump,2018-04-02,41,54,1/20/2017
Trump,2018-03-25,39,55,1/20/2017
Trump,2018-03-19,39,55,1/20/2017
Trump,2018-03-12,40,56,1/20/2017
Trump,2018-03-05,39,56,1/20/2017
Trump,2018-02-26,39,55,1/20/2017
Trump,2018-02-19,39,56,1/20/2017
Trump,2018-02-12,37,59,1/20/2017
Trump,2018-02-05,40,57,1/20/2017
Trump,2018-01-29,40,57,1/20/2017
Trump,2018-01-21,38,58,1/20/2017
Trump,2018-01-15,36,59,1/20/2017
Trump,2018-01-08,38,57,1/20/2017
Trump,2018-01-02,37,58,1/20/2017
Trump,2017-12-28,40,55,1/20/2017
