State,Keyword,Google Search Volume
New Jersey,Donald_Trump,65
District of Columbia,Donald_Trump,59.17
Rhode Island,Donald_Trump,60.45
Pennsylvania,Donald_Trump,58.88
New York,Donald_Trump,57.04
New Hampshire,Donald_Trump,56.42
Connecticut,Donald_Trump,57.33
Massachusetts,Donald_Trump,56.7
Vermont,Donald_Trump,53.4
West Virginia,Donald_Trump,57.42
Florida,Donald_Trump,55.9
Delaware,Donald_Trump,55.25
California,Donald_Trump,54.6
Virginia,Donald_Trump,53.12
Maryland,Donald_Trump,53.12
Ohio,Donald_Trump,53.95
Nevada,Donald_Trump,53.3
Maine,Donald_Trump,50.84
Indiana,Donald_Trump,52.48
Michigan,Donald_Trump,51.84
Illinois,Donald_Trump,51.84
Kentucky,Donald_Trump,52.65
Iowa,Donald_Trump,50.4
North Carolina,Donald_Trump,52
Alabama,Donald_Trump,52
Missouri,Donald_Trump,50.56
Arizona,Donald_Trump,50.56
Tennessee,Donald_Trump,51.35
Minnesota,Donald_Trump,50.56
Washington,Donald_Trump,48.98
Louisiana,Donald_Trump,50.82
Georgia,Donald_Trump,50.05
Arkansas,Donald_Trump,48.51
South Carolina,Donald_Trump,50.05
Wisconsin,Donald_Trump,48.75
North Dakota,Donald_Trump,48.75
Mississippi,Donald_Trump,48.75
Oklahoma,Donald_Trump,47.36
Nebraska,Donald_Trump,46.62
Colorado,Donald_Trump,47.36
Oregon,Donald_Trump,46.62
New Mexico,Donald_Trump,46.08
Texas,Donald_Trump,46.15
Montana,Donald_Trump,44.73
Utah,Donald_Trump,44.85
Wyoming,Donald_Trump,43.47
Kansas,Donald_Trump,44.16
South Dakota,Donald_Trump,42.84
Idaho,Donald_Trump,42.84
Alaska,Donald_Trump,40.95
Hawaii,Donald_Trump,40.32
New Jersey,Hillary_Clinton,35
District of Columbia,Hillary_Clinton,37.83
Rhode Island,Hillary_Clinton,32.55
Pennsylvania,Hillary_Clinton,33.12
New York,Hillary_Clinton,34.96
New Hampshire,Hillary_Clinton,34.58
Connecticut,Hillary_Clinton,33.67
Massachusetts,Hillary_Clinton,33.3
Vermont,Hillary_Clinton,35.6
West Virginia,Hillary_Clinton,29.58
Florida,Hillary_Clinton,30.1
Delaware,Hillary_Clinton,29.75
California,Hillary_Clinton,29.4
Virginia,Hillary_Clinton,29.88
Maryland,Hillary_Clinton,29.88
Ohio,Hillary_Clinton,29.05
Nevada,Hillary_Clinton,28.7
Maine,Hillary_Clinton,31.16
Indiana,Hillary_Clinton,29.52
Michigan,Hillary_Clinton,29.16
Illinois,Hillary_Clinton,29.16
Kentucky,Hillary_Clinton,28.35
Iowa,Hillary_Clinton,29.6
North Carolina,Hillary_Clinton,28
Alabama,Hillary_Clinton,28
Missouri,Hillary_Clinton,28.44
Arizona,Hillary_Clinton,28.44
Tennessee,Hillary_Clinton,27.65
Minnesota,Hillary_Clinton,28.44
Washington,Hillary_Clinton,30.02
Louisiana,Hillary_Clinton,26.18
Georgia,Hillary_Clinton,26.95
Arkansas,Hillary_Clinton,28.49
South Carolina,Hillary_Clinton,26.95
Wisconsin,Hillary_Clinton,26.25
North Dakota,Hillary_Clinton,26.25
Mississippi,Hillary_Clinton,26.25
Oklahoma,Hillary_Clinton,26.64
Nebraska,Hillary_Clinton,27.38
Colorado,Hillary_Clinton,26.64
Oregon,Hillary_Clinton,27.38
New Mexico,Hillary_Clinton,25.92
Texas,Hillary_Clinton,24.85
Montana,Hillary_Clinton,26.27
Utah,Hillary_Clinton,24.15
Wyoming,Hillary_Clinton,25.53
Kansas,Hillary_Clinton,24.84
South Dakota,Hillary_Clinton,25.16
Idaho,Hillary_Clinton,25.16
Alaska,Hillary_Clinton,24.05
Hawaii,Hillary_Clinton,22.68
