Year,Price,WinterRain,AGST,HarvestRain,Age,FrancePop
1952,1799.02,600,17.12,160,31,43183.569
1953,3100.43,690,16.73,80,30,43495.03
1955,2177.20,502,17.15,130,28,44217.857
1957,1079.76,420,16.13,110,26,45152.252
1958,877.60,582,16.42,187,25,45653.805
1959,3215.36,485,17.48,187,24,46128.638
1960,677.76,763,16.42,290,23,46583.995
1961,4883.88,830,17.33,38,22,47128.005
1962,1616.46,697,16.30,52,21,48088.673
1963,822.79,608,15.72,155,20,48798.99
1964,1494.27,402,17.27,96,19,49356.943
1965,518.94,602,15.37,267,18,49801.821
1966,2308.37,819,16.53,86,17,50254.966
1967,934.30,714,16.23,118,16,50650.406
1968,514.65,610,16.20,292,15,51034.413
1969,570.15,575,16.55,244,14,51470.276
1970,1974.94,622,16.67,89,13,51918.389
1971,1330.61,551,16.77,112,12,52431.647
1972,495.17,536,14.98,158,11,52894.183
1973,762.57,376,17.07,123,10,53332.805
1974,541.37,574,16.30,184,9,53689.61
1975,1468.50,572,16.95,171,8,53955.042
1976,1237.81,418,17.65,247,7,54159.049
1977,522.54,821,15.58,87,6,54378.362
1978,1320.80,763,15.82,51,5,54602.193
